file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00173_2052_8711851_to_8716134,བྱང་སེམས་ཀྱི་བསླབ་པའི་ལམ་ཐམས་ཅད་དེ་འདི་ཡང་གཉིས་སུ་བྱའོ།  ,byang sems kyi bslab pa'i lam thams cad de 'di yang gnyis su bya'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00173_2052_8711851_to_8716134.wav,STT_AB,3,57,4.283,wav16k/STT_AB00173_2052_8711851_to_8716134.wav,བྱང་སེམས་ཀྱི་བསླབ་པའི་ལམ་ཐམས་ཅད་དེ་འདི་ཡང་གཉིས་སུ་བྱའོ།
STT_TT00686_0412_2647329_to_2653779,སྨྱུ་གུ་ལ་ལྟ་གིན་ལྟ་གིན་ལ་སྨྱུ་གུ་མཐོང་མཁན་གི་མིག་གི་ཤེས་པ་ཆོས་ཅན། རང་བཞིན་གིས་མེད་དེ། རྟེན་འབྱུང་ཡིན་པའི་ཕྱིར་ལབ་ན།  ,smyu gu la lta gin lta gin la smyu gu mthong mkhan gi mig gi shes pa chos can/_rang bzhin gis med de/_rten 'byung yin pa'i phyir lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0412_2647329_to_2653779.wav,STT_TT,3,118,6.45,wav16k/STT_TT00686_0412_2647329_to_2653779.wav,སྨྱུ་གུ་ལ་ལྟ་གིན་ལྟ་གི་ལ། སྨྱུ་གུ་མཐོང་མཁན་གི་མིག་གི་ཤེས་པ་ཆོས་ཅན། རང་བཞིན་གིས་མེད་དེ། རྟེན་འབྱུང་ཡིན་པའི་ཕྱིར་ལབ་ན།
STT_AB00173_2054_8719530_to_8722858,ཤེས་བྱའི་གི་སྤྱོད་ཡུལ་དེ་མི་རྟག་པ་ལ་སོགས་པ་ལ་ ,shes bya'i gi spyod yul de mi rtag pa la sogs pa la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00173_2054_8719530_to_8722858.wav,STT_AB,3,46,3.328,wav16k/STT_AB00173_2054_8719530_to_8722858.wav,ཤེས་བྱའགི་སྤྱོད་ཡུལ་དེ་མི་རྟག་པ་ལ་སོགས་པ་ལ་
STT_TT00686_0392_2525622_to_2533489,ཁ་རྩང་། བདག་ཕུང་པོའི་སྟེང་ནས་གཅིག་ཡིན་པཱ། ཐ་དད་ཡིན་པཱ་ལབ་སོང་ང་། དེ་ནང་བཞིན་སྨྱུ་གུ་དེ་རང་གི་ཡན་ལག་གི་སྟེང་ནས་གཅིག་ཡིན་པཱ། ཐ་དད་ཡིན་པཱ།  ,kha rtsang /_bdag phung po'i steng nas gcig yin pA/_tha dad yin pA lab song nga /_de nang bzhin smyu gu de rang gi yan lag gi steng nas gcig yin pA/_tha dad yin pA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0392_2525622_to_2533489.wav,STT_TT,3,137,7.867,wav16k/STT_TT00686_0392_2525622_to_2533489.wav,ག་རེ་ཟེ་ན། བདག་ཕུང་པོའི་སྟེང་ནས་ གཅིག་ཡིན་པ། ཐ་དད་ཡིན་པ་ལབ་སོང་བ། དེ་ནང་བཞིན་ྨྱུ་གུ་དེ་རང་གི་ཡན་ལག་གི་སྟེང་ནས་གཅིག་ཡིན་པ། ཐ་དད་ཡིན་པ།
STT_TT00686_0401_2576595_to_2584616,བྱས་ཙང་ག སྔ་མ་སྤྱི་བཤད་དེ་ཡག་པོ་ཤེས་ན། དེ་ཚོ་དཔེ་ལས་སླ་པོ་ཆགས་འགྲོ་གི་རེད་ཟེ། རྒྱུ་མཚན་དེ་རེད། ཅིག་འགྲིག་སོང་ངེ་། ཨོ་དེ་རེེད་ད། ཨུམ།  ,byas tsang ga_snga ma spyi bshad de yag po shes na/_de tsho dpe las sla po chags 'gro gi red ze/_rgyu mtshan de red/_cig 'grig song nge /_o de re+ed da/_um/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0401_2576595_to_2584616.wav,STT_TT,3,134,8.021,wav16k/STT_TT00686_0401_2576595_to_2584616.wav,བྱས་ཙང་ག སྔ་མ་ སྤྱི་བཤད་དེ་ཡག་པོ་བཤད་ན། དེ་ཚོ་དཔེ་ལས་སླ་པོ་ཆགས་འགྲོ་གི་རེད་ཟེ། རྒྱུ་མཚན་དེ་རེད། ཅིག་འགྲིག་སོང་བེ། ཨོ་དེ་རེད་ད། ཨུམ།
STT_TT00686_0413_2654940_to_2656953,ཨ་ལེ། མིག་གི་ཤེས་པ་དེ། ར་འཕྲོད་དགོས་རེད་བ།  ,a le/_mig gi shes pa de/_ra 'phrod dgos red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0413_2654940_to_2656953.wav,STT_TT,3,44,2.013,wav16k/STT_TT00686_0413_2654940_to_2656953.wav,ཨ་ལེ་མིག་གི་ཤེས་པ་དེ་ར་འཕྲོད་དགོས་རེད་བ།
STT_TT00686_0422_2717468_to_2721660,བྱི་པ། བྱིས་པ་སྐྱེས་མ་ཐག་པའི་རིག་པ་ཆོད་ཅན། རིག་པ་སྔ་མ་སྔོན་དུ་སོང་སྟེ། རིག་པ་ཡིན་པའི་ཕྱིར། ལབ་རེད་བ།  ,byi pa/_byis pa skyes ma thag pa'i rig pa chod can/_rig pa snga ma sngon du song ste/_rig pa yin pa'i phyir/_lab red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0422_2717468_to_2721660.wav,STT_TT,3,102,4.192,wav16k/STT_TT00686_0422_2717468_to_2721660.wav,བྱིས་བ། བྱིས་པ་སྐྱེས་མ་ཐག་པའི་རིགས་པ་ཆོས་ཅན། རིགས་པ་སྔ་མ་སྔོན་དུ་སོང་སྟེ། རིགས་པ་ཡིན་པའི་ཕྱིར་ལབ་རེད་བ།
STT_TT00686_0423_2722268_to_2726524,བྱིས་པ་སྐྱེས་མ་ཐག་པའི་རིག་པ་ཆོས་ཅན། ཟེ་ཡ་གི། ཆོས་ཅན་ཁོ་རང་། ག་འདྲའི་སེ་རྟོགས་ཀི་རེད་བེ་ཟེ།  ,byis pa skyes ma thag pa'i rig pa chos can/_ze ya gi/_chos can kho rang /_ga 'dra'i se rtogs ki red be ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0423_2722268_to_2726524.wav,STT_TT,3,92,4.256,wav16k/STT_TT00686_0423_2722268_to_2726524.wav,བྱིས་པ་སྐྱེས་མ་ཐག་པའི་རིགས་པ་ཆོས་ཅན་ཟེར་ཡ་གི ཆོས་ཅན་ཁོ་རང་། ག་འདྲའི་སེ་རྟོགས་ཀི་རེད་བེ་ཟེ།
STT_TT00686_0428_2755042_to_2759940,བློ་རིག་སློབ་སྦྱོང་མ་བྱས་ན། ཤེས་པ་ལབ་ཡ་དེ། ར་འཕྲོད་ཏིས་ཟེ་ཁག་པོ་ཡོད་རེད་ད། ང་ཚོས་ཡོད་ཤག་རྩི་གི་ཡོད་རེད་བ།  ,blo rig slob sbyong ma byas na/_shes pa lab ya de/_ra 'phrod tis ze khag po yod red da/_nga tshos yod shag rtsi gi yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0428_2755042_to_2759940.wav,STT_TT,3,107,4.898,wav16k/STT_TT00686_0428_2755042_to_2759940.wav,བློ་རིག་སློབ་སྦྱོང་མ་བྱས་ན། ཤེས་པ་ལབ་ཡ་དེ་ ར་འཕྲོད་ཏིས་ཙི་ཁག་པོ་ཡོད་རེད་ད། ང་ཚོས་ཡོད་ཤག་བརྩི་གི་ཡོད་རེད་བ།
STT_TT00686_0431_2770811_to_2773083,མང་པོ་ཅིག་གིས། ལམ་སང་། ཀླད་པ་ལ་གོ་འགྲོ་གི་ཡོད་རེད་བ།  ,mang po cig gis/_lam sang /_klad pa la go 'gro gi yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0431_2770811_to_2773083.wav,STT_TT,3,54,2.272,wav16k/STT_TT00686_0431_2770811_to_2773083.wav,མང་པོ་ཅིག་གིས་ལམ་སང་ཀླད་པ་ལ་གོ་འགྲོ་གི་ཡོད་རེད་བ།
